2025-10-18 05:52:31 http://58.19.133.216:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:33 http://101.66.195.101:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:37 http://112.99.193.34:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:40 http://183.131.246.250:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:48 http://101.66.199.152:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:52:49 http://101.66.199.67:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:53:14 http://113.195.162.70:9901/iptv/live/1000.json?key=txiptv
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：67 个 , 总频道：333 个 , 总进度：20.12%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：68 个 , 总频道：333 个 , 总进度：20.42%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：69 个 , 总频道：333 个 , 总进度：20.72%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：70 个 , 总频道：333 个 , 总进度：21.02%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：71 个 , 总频道：333 个 , 总进度：21.32%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：72 个 , 总频道：333 个 , 总进度：21.62%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：73 个 , 总频道：333 个 , 总进度：21.92%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：74 个 , 总频道：333 个 , 总进度：22.22%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：75 个 , 总频道：333 个 , 总进度：22.52%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：76 个 , 总频道：333 个 , 总进度：22.82%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：77 个 , 总频道：333 个 , 总进度：23.12%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：78 个 , 总频道：333 个 , 总进度：23.42%
2025-10-18 05:53:30 可用频道：0 个 , 不可用频道：79 个 , 总频道：333 个 , 总进度：23.72%
